Iterative Linear Search

Size 	| Time
--------|--------
5000	| 15.268
25000	| 76.406
50000	| 150.576
75000	| 174.806
100000	| 324.567
200000	| 495.117
300000	| 764.994
400000	| 1035.31
500000	| 1568.74
1000000	| 2507.56


Recursive Linear Search

Size 	| Time
--------|--------
5000	| 90.766
25000	| 478.581
50000	| 971.565
75000	| 1443.66
100000	| 2060.64
200000	| 2933.35
300000	| 4759.07
400000	| 12510.7
500000	| 17883.3
1000000	| 19876.4


Iterative Binary Search

Size 	| Time
--------|--------
5000	| 0.356
25000	| 0.448
50000	| 0.517
75000	| 0.604
100000	| 0.743
200000	| 0.815
300000	| 1.089
400000	| 1.332
500000	| 1.585
1000000	| 1.584


Iterative Binary Search

Size 	| Time
--------|--------
5000	| 
25000	| 
50000	| 
75000	| 
100000	| 
200000	| 
300000	| 
400000	| 
500000	| 
1000000	| 


















